plate	well	status	stock_conc	diluent_vol	final_vol	final_conc
PD2	F8	OK	34.01	19.2	27.21	10.0
PD2	G8	conc below target	4.25	0	8.0	4.25
PD2	H8	OK	22.4	9.9	17.92	10.0
PD2	A9	OK	22.98	10.4	18.38	10.0
PD2	B9	OK	106.21	77.0	84.97	10.0
PD2	C9	OK	18.82	7.1	15.06	10.0
PD2	D9	conc below target	5.97	0	8.0	5.97
PD2	E9	transfer too small	12.82	0	8.0	12.82
PD2	F9	conc below target	2.34	0	8.0	2.34
PD2	G9	OK	35.25	20.2	28.2	10.0
PD2	H9	OK	101.73	73.4	81.38	10.0
PD2	A10	OK	27.13	13.7	21.7	10.0
PD2	B10	OK	39.71	23.8	31.77	10.0
PD2	C10	OK	22.51	10.0	18.01	10.0
PD2	D10	OK	17.35	5.9	13.88	10.0
PD2	E10	OK	88.88	63.1	71.1	10.0
PD2	F10	OK	94.78	67.8	75.82	10.0
PD2	G10	OK	104.91	75.9	83.93	10.0
PD2	H10	OK	36.26	21.0	29.01	10.0
PD2	A11	OK	47.39	29.9	37.91	10.0
PD2	B11	transfer too small	14.55	0	8.0	14.55
PD2	C11	OK	16.68	5.3	13.34	10.0
PD2	D11	OK	86.04	60.8	68.83	10.0
PD2	E11	OK	18.37	6.7	14.7	10.0
PD2	F11	OK	74.1	51.3	59.28	10.0
PD2	G11	OK	30.02	16.0	24.02	10.0
PD2	H11	OK	32.71	18.2	26.17	10.0
PD2	A12	OK	17.2	5.8	13.76	10.0
PD2	B12	transfer too small	14.89	0	8.0	14.89
PD2	C12	OK	77.64	54.1	62.11	10.0
PD2	D12	OK	33.82	19.1	27.06	10.0
PD2	E12	transfer too small	12.48	0	8.0	12.48
PD2	F12	conc below target	5.67	0	8.0	5.67
PD2	G12	conc below target	0.08	0	8.0	0.08
PD2	H12	conc below target	0.24	0	8.0	0.24
PD3	A1	conc below target	0.0	0	8.0	0.0
PD3	B1	conc below target	0.0	0	8.0	0.0
PD3	C1	conc below target	0.0	0	8.0	0.0
PD3	D1	OK	36.17	20.9	28.94	10.0
PD3	E1	conc below target	7.27	0	8.0	7.27
PD3	F1	conc below target	0.0	0	8.0	0.0
PD3	G1	conc below target	0.0	0	8.0	0.0
PD3	H1	conc below target	0.0	0	8.0	0.0
PD3	A2	conc below target	0.0	0	8.0	0.0
PD3	B2	OK	56.07	36.9	44.86	10.0
PD3	C2	conc below target	2.16	0	8.0	2.16
PD3	D2	conc below target	0.0	0	8.0	0.0
PD3	E2	OK	29.12	15.3	23.3	10.0
PD3	F2	conc below target	1.27	0	8.0	1.27
PD3	G2	conc below target	0.0	0	8.0	0.0
PD3	H2	conc below target	0.0	0	8.0	0.0
PD3	A3	OK	32.22	17.8	25.78	10.0
PD3	B3	conc below target	7.83	0	8.0	7.83
PD3	C3	OK	20.84	8.7	16.67	10.0
PD3	D3	conc below target	1.15	0	8.0	1.15
PD3	E3	conc below target	1.44	0	8.0	1.44
PD3	F3	conc below target	4.45	0	8.0	4.45
PD3	G3	conc below target	7.92	0	8.0	7.92
PD3	H3	conc below target	0.0	0	8.0	0.0
PD3	A4	OK	19.57	7.7	15.66	10.0
PD3	B4	transfer too small	15.32	0	8.0	15.32
PD3	C4	conc below target	8.94	0	8.0	8.94
