plate_name,well,value,conc,r2
plateA,F11,2042,1.073083223577975,0.9792397825007271
plateA,G11,1036,0,0.9792397825007271
plateA,H11,1096,0,0.9792397825007271
plateA,A12,7102,8.495995302677127,0.9792397825007271
plateA,B12,1701,0.5728434965082496,0.9792397825007271
plateA,C12,3633,3.4070462903461074,0.9792397825007271
plateA,D12,14153,18.839661917247902,0.9792397825007271
plateA,E12,5175,5.669127402198063,0.9792397825007271
plateA,F12,27237,38.03361085853907,0.9792397825007271
plateA,G12,1022,0,0.9792397825007271
plateA,H12,1002,0,0.9792397825007271
plateB,A01,3367,4.74630741290824,0.9840192948483146
plateB,B01,993,1.7314780925656121,0.9840192948483146
plateB,C01,941,1.6654413930467338,0.9840192948483146
plateB,D01,979,1.7136989811566834,0.9840192948483146
plateB,E01,947,1.6730610122219889,0.9840192948483146
plateB,F01,960,1.6895701871017086,0.9840192948483146
plateB,G01,5826,7.8690813382336495,0.9840192948483146
plateB,H01,47504,60.797496002614466,0.9840192948483146
plateB,A02,912,1.3755772675964788,0.9830651871888791
plateB,B02,917,1.3829833453495877,0.9830651871888791
plateB,C02,1496,2.240607149159597,0.9830651871888791
plateB,D02,27190,40.29895950683556,0.9830651871888791
plateB,E02,1495,2.239125933608975,0.9830651871888791
plateB,F02,1420,2.1280347673123416,0.9830651871888791
plateB,G02,853,1.2881855501097939,0.9830651871888791
plateB,H02,19317,28.637349476790302,0.9830651871888791
plateB,A03,778,1.1770943838131607,0.9830651871888791
plateB,B03,27208,40.32562138674675,0.9830651871888791
plateB,C03,13263,19.670070533326058,0.9830651871888791
plateB,D03,823,1.2437490835911407,0.9830651871888791
plateB,E03,3851,5.728869770873884,0.9830651871888791
plateB,F03,1996,2.981214924470486,0.9830651871888791
plateB,G03,801,1.2111623414774615,0.9830651871888791
plateB,H03,796,1.2037562637243526,0.9830651871888791
plateB,A04,18548,27.498294718362153,0.9830651871888791
plateB,B04,1057,1.5903535224366367,0.9830651871888791
plateB,C04,24106,35.730890748718,0.9830651871888791
plateB,D04,980,1.4762999250387598,0.9830651871888791
plateB,E04,37868,56.1153791563749,0.9830651871888791
plateB,F04,1037,1.560729211424201,0.9830651871888791
plateB,G04,4526,6.728690267543584,0.9830651871888791
plateB,H04,774,1.1711695216106734,0.9830651871888791
plateB,A05,1327,1.9902817211045167,0.9830651871888791
plateB,B05,29316,43.44802376745746,0.9830651871888791
plateB,C05,1116,1.6777452399233215,0.9830651871888791
plateB,D05,6283,9.331185989986047,0.9830651871888791
plateB,E05,7367,10.936823646860054,0.9830651871888791
plateB,F05,855,1.2911479812110376,0.9830651871888791
plateB,G05,7359,10.92497392245508,0.9830651871888791
plateB,H05,865,1.3059601367172553,0.9830651871888791
plateB,A06,23758,35.215427737101614,0.9830651871888791
plateB,B06,52270,77.44784551642975,0.9830651871888791
plateB,C06,19220,28.493671568379987,0.9830651871888791
plateB,D06,992,1.494074511646221,0.9830651871888791
plateB,E06,876,1.322253507774095,0.9830651871888791
plateB,F06,845,1.2763358257048196,0.9830651871888791
plateB,G06,814,1.2304181436355446,0.9830651871888791
plateB,H06,826,1.248192730243006,0.9830651871888791
plateB,A07,18434,27.32943614559127,0.9830651871888791
plateB,B07,1202,1.8051297772767945,0.9830651871888791
plateB,C07,882,1.3311408010778256,0.9830651871888791
plateB,D07,906,1.366689974292748,0.9830651871888791
plateB,E07,959,1.4451943984757025,0.9830651871888791
plateB,F07,6624,9.836280492748074,0.9830651871888791
plateB,G07,23885,35.403542112030586,0.9830651871888791
plateB,H07,770,1.1652446594081864,0.9830651871888791
plateB,A08,1441,2.159140293875399,0.9830651871888791
plateB,B08,13425,19.910027452526784,0.9830651871888791
plateB,C08,832,1.2570800235467365,0.9830651871888791
plateB,D08,37795,56.00725042117951,0.9830651871888791
plateB,E08,960,1.4466756140263242,0.9830651871888791
plateB,F08,8722,12.943870717952564,0.9830651871888791
plateB,G08,27076,40.13010093406468,0.9830651871888791
plateB,H08,1677,2.5087071638221388,0.9830651871888791
plateB,A09,778,1.1770943838131607,0.9830651871888791
plateB,B09,35648,52.827080633994555,0.9830651871888791
plateB,C09,1780,2.661272365536182,0.9830651871888791
plateB,D09,4213,6.265069800198968,0.9830651871888791
plateB,E09,1497,2.2420883647102188,0.9830651871888791
plateB,F09,25344,37.56463560038775,0.9830651871888791
plateB,G09,1339,2.008056307711978,0.9830651871888791
plateB,H09,23354,34.61701665465042,0.9830651871888791
plateB,A10,6067,9.011243431051744,0.9830651871888791
plateB,B10,18969,28.121886465173922,0.9830651871888791
plateB,C10,969,1.4600065539819203,0.9830651871888791
plateB,D10,1549,2.319111573342551,0.9830651871888791
plateB,E10,1288,1.9325143146302672,0.9830651871888791
plateB,F10,831,1.255598807996115,0.9830651871888791
plateB,G10,43917,65.07525202208603,0.9830651871888791
plateB,H10,39726,58.867477649430164,0.9830651871888791
plateB,A11,965,1.454081691779433,0.9830651871888791
plateB,B11,904,1.3637275431915046,0.9830651871888791
plateB,C11,761,1.1519137194525904,0.9830651871888791
plateB,D11,8898,13.204564654861997,0.9830651871888791
plateB,E11,1367,2.0495303431293874,0.9830651871888791
plateB,F11,6803,10.101418076309372,0.9830651871888791
plateB,G11,967,1.4570441228806765,0.9830651871888791
plateB,H11,49043,72.66796293457327,0.9830651871888791
plateB,A12,2612,3.893643703653501,0.9830651871888791
plateB,B12,3722,5.537792964843675,0.9830651871888791
plateB,C12,1265,1.8984463569659664,0.9830651871888791
plateB,D12,1806,2.6997839698523483,0.9830651871888791
plateB,E12,29365,43.520603329437925,0.9830651871888791
plateB,F12,780,1.1800568149144042,0.9830651871888791
plateB,G12,11953,17.729678162011528,0.9830651871888791
plateB,H12,1595,2.3872474886711528,0.9830651871888791
plateC,A01,37599,48.218774680797395,0.9840192948483146
plateC,B01,1003,1.7441774578577038,0.9840192948483146
plateC,C01,3269,4.621853633045739,0.9840192948483146
plateC,D01,992,1.7302081560364027,0.9840192948483146
plateC,E01,1005,1.7467173309161224,0.9840192948483146
plateC,F01,1109,1.8787907299538786,0.9840192948483146
plateC,G01,29621,38.08722105076644,0.9840192948483146
plateC,H01,1473,2.3410476265860254,0.9840192948483146
plateC,A02,832,1.578954035280474,0.9864932927057045
plateC,B02,784,1.499723989538678,0.9864932927057045
plateC,C02,976,1.8166441725058613,0.9864932927057045
plateC,D02,1313,2.372905118651386,0.9864932927057045
plateC,E02,28892,47.895518275171916,0.9864932927057045
plateC,F02,2276,3.9624579113461635,0.9864932927057045
plateC,G02,3565,6.09011476470397,0.9864932927057045
plateC,H02,760,1.4601089666677805,0.9864932927057045
plateC,A03,730,1.410590188079158,0.9864932927057045
plateC,B03,48108,79.61394658713749,0.9864932927057045
plateC,C03,28669,47.527428687663154,0.9864932927057045
plateC,D03,3347,5.730278306959981,0.9864932927057045
