plate	well	opentron_position	status	stock_conc	diluent_vol	final_vol	final_conc
plateB	C12	2	conc below target	1.9	0	10.0	1.9
plateB	D12	2	conc below target	2.7	0	10.0	2.7
plateB	E12	2	OK	43.52	77.0	87.04	5.0
plateB	F12	2	conc below target	1.18	0	10.0	1.18
plateB	G12	2	OK	17.73	25.5	35.46	5.0
plateB	H12	2	conc below target	2.39	0	10.0	2.39
plateC	A01	3	OK	48.22	86.4	96.44	5.0
plateC	B01	3	conc below target	1.74	0	10.0	1.74
plateC	C01	3	conc below target	4.62	0	10.0	4.62
plateC	D01	3	conc below target	1.73	0	10.0	1.73
plateC	E01	3	conc below target	1.75	0	10.0	1.75
plateC	F01	3	conc below target	1.88	0	10.0	1.88
plateC	G01	3	OK	38.09	66.2	76.17	5.0
plateC	H01	3	conc below target	2.34	0	10.0	2.34
plateC	A02	3	conc below target	1.58	0	10.0	1.58
plateC	B02	3	conc below target	1.5	0	10.0	1.5
plateC	C02	3	conc below target	1.82	0	10.0	1.82
plateC	D02	3	conc below target	2.37	0	10.0	2.37
plateC	E02	3	OK	47.9	85.8	95.79	5.0
plateC	F02	3	conc below target	3.96	0	10.0	3.96
plateC	G02	3	transfer too small	6.09	0	10.0	6.09
plateC	H02	3	conc below target	1.46	0	10.0	1.46
plateC	A03	3	conc below target	1.41	0	10.0	1.41
plateC	B03	3	OK	79.61	149.2	159.23	5.0
plateC	C03	3	OK	47.53	85.1	95.05	5.0
plateC	D03	3	transfer too small	5.73	0	10.0	5.73
plateC	E03	3	OK	22.72	35.4	45.43	5.0
plateC	F03	3	conc below target	1.47	0	10.0	1.47
plateC	G03	3	conc below target	1.56	0	10.0	1.56
plateC	H03	3	conc below target	1.46	0	10.0	1.46
plateC	A04	3	conc below target	1.53	0	10.0	1.53
plateC	B04	3	OK	62.97	115.9	125.95	5.0
plateC	C04	3	conc below target	1.5	0	10.0	1.5
plateC	D04	3	conc below target	1.5	0	10.0	1.5
plateC	E04	3	conc below target	1.56	0	10.0	1.56
plateC	F04	3	conc below target	1.67	0	10.0	1.67
plateC	G04	3	conc below target	4.25	0	10.0	4.25
plateC	H04	3	conc below target	1.37	0	10.0	1.37
plateC	A05	3	OK	63.41	116.8	126.83	5.0
plateC	B05	3	conc below target	1.51	0	10.0	1.51
plateC	C05	3	OK	31.9	53.8	63.79	5.0
plateC	D05	3	conc below target	1.6	0	10.0	1.6
plateC	E05	3	OK	11.94	13.9	23.89	5.0
plateC	F05	3	OK	32.37	54.7	64.73	5.0
plateC	G05	3	conc below target	1.43	0	10.0	1.43
plateC	H05	3	OK	16.6	23.2	33.21	5.0
plateC	A06	3	conc below target	1.42	0	10.0	1.42
plateC	B06	3	conc below target	1.47	0	10.0	1.47
plateC	C06	3	conc below target	1.58	0	10.0	1.58
plateC	D06	3	conc below target	1.68	0	10.0	1.68
plateC	E06	3	conc below target	1.62	0	10.0	1.62
plateC	F06	3	OK	32.96	55.9	65.92	5.0
plateC	G06	3	OK	17.43	24.9	34.86	5.0
plateC	H06	3	conc below target	1.36	0	10.0	1.36
plateC	A07	3	conc below target	1.39	0	10.0	1.39
plateC	B07	3	OK	46.46	82.9	92.92	5.0
plateC	C07	3	OK	84.81	159.6	169.62	5.0
plateC	D07	3	conc below target	1.63	0	10.0	1.63
plateC	E07	3	conc below target	4.78	0	10.0	4.78
plateC	F07	3	transfer too small	5.67	0	10.0	5.67
plateC	G07	3	conc below target	2.3	0	10.0	2.3
plateC	H07	3	OK	9.34	8.7	18.68	5.0
plateC	A08	3	conc below target	1.8	0	10.0	1.8
plateC	B08	3	OK	24.03	38.1	48.07	5.0
plateC	C08	3	OK	56.5	103.0	113.0	5.0
plateC	D08	3	OK	22.6	35.2	45.2	5.0
plateC	E08	3	conc below target	1.64	0	10.0	1.64
plateC	F08	3	conc below target	1.82	0	10.0	1.82
plateC	G08	3	OK	25.18	40.4	50.36	5.0
plateC	H08	3	transfer too small	5.29	0	10.0	5.29
plateC	A09	3	OK	32.74	55.5	65.48	5.0
plateC	B09	3	conc below target	1.66	0	10.0	1.66
plateC	C09	3	OK	12.49	15.0	24.97	5.0
plateC	D09	3	conc below target	1.57	0	10.0	1.57
plateC	E09	3	OK	11.76	13.5	23.53	5.0
plateC	F09	3	OK	52.55	95.1	105.09	5.0
plateC	G09	3	conc below target	1.42	0	10.0	1.42
plateC	H09	3	conc below target	4.73	0	10.0	4.73
plateC	A10	3	conc below target	2.47	0	10.0	2.47
plateC	B10	3	conc below target	1.56	0	10.0	1.56
plateC	C10	3	OK	44.5	79.0	88.99	5.0
plateC	D10	3	conc below target	1.51	0	10.0	1.51
plateC	E10	3	OK	69.54	129.1	139.08	5.0
plateC	F10	3	conc below target	1.59	0	10.0	1.59
plateC	G10	3	conc below target	1.51	0	10.0	1.51
plateC	H10	3	OK	40.55	71.1	81.1	5.0
plateC	A11	3	OK	45.54	81.1	91.09	5.0
plateC	B11	3	conc below target	1.5	0	10.0	1.5
plateC	C11	3	OK	12.13	14.3	24.25	5.0
plateC	D11	3	conc below target	1.45	0	10.0	1.45
plateC	E11	3	conc below target	3.36	0	10.0	3.36
plateC	F11	3	conc below target	1.43	0	10.0	1.43
plateC	G11	3	conc below target	1.44	0	10.0	1.44
plateC	H11	3	conc below target	1.39	0	10.0	1.39
plateC	A12	3	conc below target	1.41	0	10.0	1.41
plateC	B12	3	conc below target	1.95	0	10.0	1.95
plateC	C12	3	conc below target	1.54	0	10.0	1.54
plateC	D12	3	conc below target	1.37	0	10.0	1.37
plateC	E12	3	conc below target	1.42	0	10.0	1.42
plateC	F12	3	conc below target	1.33	0	10.0	1.33
plateC	G12	3	conc below target	1.35	0	10.0	1.35
plateC	H12	3	conc below target	1.31	0	10.0	1.31
