Sample_ID,Well,Plate,Country,RNA_conc(ng/µl),Aim conc (ng/µl),Final conc (ng/µl),RNA (µl),H2O (µl),End_vol (µl),,Final Conc.Total (ng),,,
CGR0440,D05,RPA0003,GER,178.7,20.0,19.8,5.6,45.0,50.0,50.6,988.9,,,
CFR0232,E05,RPA0003,FRA,41.7,20.0,20.0,24.0,26.0,50.0,50.0,1000.0,,,
CFR0269,F05,RPA0003,FRA,32.6,20.0,16.3,25.0,25.0,50.0,50.0,815.0,,,
CFR0467,G05,RPA0003,FRA,130.5,20.0,20.9,8.0,42.0,50.0,50.0,1044.0,,,
CFR0119,H05,RPA0003,FRA,209.4,20.0,20.9,5.0,45.0,50.0,50.0,1047.0,,,
CFR0201,A06,RPA0003,FRA,141.2,20.0,19.8,7.0,43.0,50.0,50.0,988.4,,,
CFR0471,B06,RPA0003,FRA,47,20.0,19.7,21.0,29.0,50.0,50.0,987.0,,,
CAR0868,C06,RPA0003,USA,171.7,20.0,20.6,6.0,44.0,50.0,50.0,1030.2,,,
CGR0223,D06,RPA0003,GER,115.5,20.0,20.8,9.0,41.0,50.0,50.0,1039.5,,,
CAR0875,E06,RPA0003,USA,72.3,20.0,21.7,15.0,35.0,50.0,50.0,1084.5,,,
CAR0515,F06,RPA0003,USA,12.7,20.0,6.4,25.0,25.0,50.0,50.0,317.5,,,
CGR0423,G06,RPA0003,GER,147.6,20.0,20.7,7.0,43.0,50.0,50.0,1033.2,,,
CFR0104,H06,RPA0003,FRA,163.1,20.0,19.6,6.0,44.0,50.0,50.0,978.6,,,
CAR0785,A07,RPA0003,USA,135,20.0,19.8,7.4,43.0,50.0,50.4,991.1,,,
CFR0449,B07,RPA0003,FRA,157.3,20.0,20.0,6.4,44.0,50.0,50.4,998.7,,,
CGR0161,C07,RPA0003,GER,151.9,20.0,19.8,6.6,44.0,50.0,50.6,990.7,,,
CGR0228,D07,RPA0003,GER,175.5,20.0,21.1,6.0,44.0,50.0,50.0,1053.0,,,
CFR0086,E07,RPA0003,FRA,36.7,20.0,18.4,25.0,25.0,50.0,50.0,917.5,,,
CFR0469,F07,RPA0003,FRA,16.9,20.0,8.5,25.0,25.0,50.0,50.0,422.5,,,
CFR0115,G07,RPA0003,FRA,43,20.0,19.8,23.0,27.0,50.0,50.0,989.0,,,
CAR0354,H07,RPA0003,USA,71.9,20.0,21.6,15.0,35.0,50.0,50.0,1078.5,,,
CFR0482,A08,RPA0003,FRA,147.2,20.0,20.6,7.0,43.0,50.0,50.0,1030.4,,,
CGR0443,B08,RPA0003,GER,113.3,20.0,20.4,9.0,41.0,50.0,50.0,1019.7,,,
CFR0132,C08,RPA0003,FRA,79.1,20.0,15.8,10.0,40.0,50.0,50.0,791.0,,,
CGR0439,D08,RPA0003,GER,107.2,20.0,20.0,9.4,41.0,50.0,50.4,999.7,,,
CFR0473,E08,RPA0003,FRA,118.9,20.0,19.8,8.4,42.0,50.0,50.4,990.8,,,
CGR0227,F08,RPA0003,GER,97.1,20.0,19.4,10.0,40.0,50.0,50.0,971.0,,,
CGR0398,G08,RPA0003,GER,45.6,20.0,20.1,22.0,28.0,50.0,50.0,1003.2,,,
CFR0181,H08,RPA0003,FRA,46.5,20.0,20.5,22.0,28.0,50.0,50.0,1023.0,,,
blank,A09,RPA0003,BLANK,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CGR0416,B09,RPA0003,GER,187.7,20.0,20.1,5.4,45.0,50.0,50.4,1005.5,,,
CAR0817,C09,RPA0003,USA,42.8,20.0,19.7,23.0,27.0,50.0,50.0,984.4,,,
CAR0493,D09,RPA0003,USA,153.2,20.0,19.6,6.4,43.6,50.0,50.0,980.5,,,
CGR0434,E09,RPA0003,GER,125.4,20.0,20.0,8.0,42.0,50.0,50.0,1000.0,,,
CAR0836,F09,RPA0003,USA,170.2,20.0,20.4,6.0,44.0,50.0,50.0,1021.2,,,
CGR0101,G09,RPA0003,GER,458.5,20.0,20.1,2.2,48.0,50.0,50.2,1004.7,,,
CAR0911,H09,RPA0003,USA,177.8,20.0,19.7,5.6,45.0,50.0,50.6,983.9,,,
CFR0350,A10,RPA0003,FRA,27.3,20.0,13.7,25.0,25.0,50.0,50.0,682.5,,,
CFR0027,B10,RPA0003,FRA,29.4,20.0,14.7,25.0,25.0,50.0,50.0,735.0,,,
CGR0269,C10,RPA0003,GER,85.1,20.0,17.0,10.0,40.0,50.0,50.0,851.0,,,
CGR0216,D10,RPA0003,GER,97.9,20.0,19.6,10.0,40.0,50.0,50.0,979.0,,,
blank,E10,RPA0003,BLANK,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CAR0959,F10,RPA0003,USA,140.6,20.0,19.7,7.0,43.0,50.0,50.0,984.2,,,
CAR0705,G10,RPA0003,USA,98.1,20.0,19.6,10.0,40.0,50.0,50.0,981.0,,,
CAR0563,H10,RPA0003,USA,81.4,20.0,16.3,10.0,40.0,50.0,50.0,814.0,,,
CGR0241,A11,RPA0003,GER,135.8,20.0,19.9,7.4,43.0,50.0,50.4,996.9,,,
blank,B11,RPA0003,BLANK,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CGR0336,C11,RPA0003,GER,76.5,20.0,15.3,10.0,40.0,50.0,50.0,765.0,,,
CAR0345,D11,RPA0003,USA,46.8,20.0,20.6,22.0,28.0,50.0,50.0,1029.6,,,
CAR0362,E11,RPA0003,USA,295.8,20.0,20.1,3.4,46.6,50.0,50.0,1005.7,,,
CAR0745,F11,RPA0003,USA,87.1,20.0,17.4,10.0,40.0,50.0,50.0,871.0,,,
CFR0014,G11,RPA0003,FRA,39.7,20.0,19.9,25.0,25.0,50.0,50.0,992.5,,,
CFR0065,H11,RPA0003,FRA,33.7,20.0,16.9,25.0,25.0,50.0,50.0,842.5,,,
CAR0567,A12,RPA0003,USA,25.1,20.0,12.6,25.0,25.0,50.0,50.0,627.5,,,
CFR0127,B12,RPA0003,FRA,172.1,20.0,20.7,6.0,44.0,50.0,50.0,1032.6,,,
CFR0364,C12,RPA0003,FRA,39.2,20.0,19.6,25.0,25.0,50.0,50.0,980.0,,,
CAR0458,D12,RPA0003,USA,38.4,20.0,19.2,25.0,25.0,50.0,50.0,960.0,,,
CGR0450,E12,RPA0003,GER,108,20.0,19.4,9.0,41.0,50.0,50.0,972.0,,,
CGR0280,F12,RPA0003,GER,102.6,20.0,20.5,10.0,40.0,50.0,50.0,1026.0,,,
CFR0028,G12,RPA0003,FRA,27.5,20.0,13.8,25.0,25.0,50.0,50.0,687.5,,,
CFR0083,H12,RPA0003,FRA,31,20.0,15.5,25.0,25.0,50.0,50.0,775.0,,,
CGR0429,A01,RPA0004,GER,289.3,20.0,20.8,3.6,46.4,50.0,50.0,1041.5,,,
CAR0653,B01,RPA0004,USA,126.5,20.0,20.2,8.0,42.0,50.0,50.0,1012.0,,,
blank,C01,RPA0004,BLANK,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CGR0377,D01,RPA0004,GER,190.3,20.0,20.6,5.4,44.6,50.0,50.0,1027.6,,,
CFR0084,E01,RPA0004,FRA,49.9,20.0,20.0,20.0,30.0,50.0,50.0,1000.0,,,
CFR0235,F01,RPA0004,FRA,176.1,20.0,19.7,5.6,44.4,50.0,50.0,986.2,,,
CAR0387,G01,RPA0004,USA,62.6,20.0,20.0,16.0,34.0,50.0,50.0,1000.0,,,
CGR0263,H01,RPA0004,GER,30.9,20.0,15.5,25.0,25.0,50.0,50.0,772.5,,,
CGR0279,A02,RPA0004,GER,52,20.0,19.8,19.0,31.0,50.0,50.0,988.0,,,
CGR0248,B02,RPA0004,GER,480.5,20.0,21.1,2.2,48.0,50.0,50.2,1057.1,,,
CFR0019,C02,RPA0004,FRA,76.2,20.0,15.2,10.0,40.0,50.0,50.0,762.0,,,
CAR0651,D02,RPA0004,USA,186.8,20.0,20.0,5.4,45.0,50.0,50.4,1000.7,,,
